ticket_id,status,priority,source,ticket_group,created_time,resolved_time,initial_time,agent_interactions,customer_interactions,type,course,user_id,agent_id
2009687,Closed,Low,Email,Student Records,2018-03-05 19:11:00,2018-03-06 09:22:00,2018-03-05 21:41:00,3,1,Student Records Task,NA,1454,2
2139362,Closed,Urgent,Email,Student Records,2018-03-28 12:51:00,2018-04-03 07:30:00,2018-03-28 13:11:00,3,2,Student Records Task,USB,2960,2
2141198,Closed,Low,Email,Student Records,2018-03-28 17:48:00,2018-03-29 08:20:00,2018-03-29 08:19:00,1,2,NetVerify,NA,411,2
2148810,Closed,Urgent,Email,Student Records,2018-03-30 07:32:00,2018-04-04 07:34:00,2018-03-30 18:10:00,4,3,Student Records Task,MIT-AI-2018-01-31,643,2
2113936,Closed,Low,Email,Student Records,2018-03-23 14:45:00,2018-03-23 15:08:00,2018-03-23 15:08:00,1,1,Student Records Task,NA,2891,2
,Closed,Urgent,Email,Student Records,2018-03-12 11:58:00,2018-03-12 14:00:00,2018-03-12 12:16:00,1,1,Student Records Task,NA,2722,2
,Closed,Urgent,Email,Student Records,2018-03-28 22:56:00,2018-04-03 07:52:00,2018-03-29 08:03:00,2,2,NetVerify,NA,809,2
,Closed,Low,Email,Student Records,2018-03-15 16:15:00,2018-03-15 16:25:00,2018-03-15 16:20:00,2,2,Student Records Task,NA,2486,2
,Closed,Urgent,Email,Student Records,2018-03-05 11:02:00,2018-03-05 13:15:00,2018-03-05 11:33:00,2,2,Student Records Task,NA,2736,2
,Closed,Urgent,Outbound Email,Student Records,2018-03-19 09:29:00,2018-04-09 08:40:00,2018-03-19 09:47:00,3,3,Student Records Task,NA,3005,2
,Closed,Low,Email,Student Records,2018-03-10 19:54:00,2018-03-12 15:39:00,2018-03-12 08:42:00,2,1,Student Records Task,NA,136,2
,Resolved,Urgent,Email,Student Records,2018-03-12 06:36:00,2018-03-12 08:11:00,2018-03-12 07:57:00,1,2,Student Records Task,NA,2243,2
,Closed,Low,Email,Student Records,2018-03-13 15:59:00,2018-03-13 16:21:00,2018-03-13 16:12:00,2,NA,Student Records Task,NA,3132,2
,Closed,Urgent,Email,Student Records,2018-03-12 11:58:00,2018-03-12 12:16:00,2018-03-12 12:16:00,1,NA,Student Records Task,NA,2722,2
,Closed,Low,Email,Student Records,2018-03-29 22:36:00,2018-04-03 09:32:00,2018-04-03 08:01:00,2,1,Student Records Task,NA,55,2
,Closed,Urgent,Email,Student Records,2018-03-28 21:59:00,2018-04-03 08:59:00,2018-03-29 08:15:00,2,8,NetVerify,NA,679,2
,Closed,Low,Email,Student Records,2018-03-30 19:09:00,2018-04-03 08:50:00,2018-04-03 08:50:00,1,2,NetVerify,NA,67,2
,Closed,Low,Email,Student Records,2018-03-02 09:26:00,2018-03-02 12:14:00,2018-03-02 10:09:00,2,1,Student Records Task,NA,2575,2
,Closed,Low,Email,Student Records,2018-03-01 19:15:00,2018-03-02 10:59:00,2018-03-02 10:07:00,2,1,Student Records Task,NA,336,2
,Closed,Urgent,Email,Student Records,2018-03-28 17:35:00,2018-04-17 08:18:00,2018-04-17 02:23:00,3,1,Student Records Task,NA,8,2
